clave;vigencia;sin_fecha;archivos;nota;revisado;norma;fecha_documento;archivos_detectados;fechas_candidatas;pdf
2021_2297;2022-01-01;;;;;Circular N°2.297;2021-11-02;D60;2022-01-01 …capítulo. Este nuevo archivo deberá ser enviado a partir de la información referida al mes de enero de 2022 en adelante… | 2022-04-01 …información, excepcionalmente el envío de los archivos referidos a los meses de enero a abril de 2022 será realizado en el mes de…;https://www.cmfchile.cl/normativa/cir_2297_2021.pdf
2021_2294;2021-12-15;;;;;Circular N°2.294;2021-09-02;D10 R04 R05;2022-06-30 …cierre del viernes 3 de diciembre). Este periodo de marcha blanca se extenderá hasta el 30 de junio de 2022. A partir de la… | 2022-07-01 …se extenderá hasta el 30 de junio de 2022. A partir de la información referida al viernes 1 de julio de 2022 el archivo D10 deberá ser…;https://www.cmfchile.cl/normativa/cir_2294_2021.pdf
2021_2293;2021-09-02;;;;;Circular N°2.293;2021-09-02;D10 D27 R04 R05;2022-03-31 …previos a la presente modificación. Este periodo de marcha blanca se extenderá hasta el 31 de marzo de 2022. Como consecuencia de las…;https://www.cmfchile.cl/normativa/cir_2293_2021.pdf
2021_1222;2021-09-02;;;;;Oficio Circular N°1.222;2021-09-02;D10 D27 R04 R05;2022-04-01 …para bancos, en atención al carácter sensible de la misma, considerando que a partir del mes de abril de 2022 esta deberá ser…;https://www.cmfchile.cl/normativa/ofc_1222_2021.pdf
2021_2292;2021-08-19;;;;;Circular N°2.292;2021-08-19;R08;2020-12-01 …reunir las emisiones de bonos subordinados, podrán seguir siendo computados desde el 1 de diciembre de 2020. Sin embargo, la razón… | 2022-12-01 …de 2020. Sin embargo, la razón de reconocimiento decrecerá en un 10% anual a partir del 1 de diciembre de 2022, hasta su exclusión…;https://www.cmfchile.cl/normativa/cir_2292_2021.pdf
2021_2291;2021-07-08;;;;;Circular N°2.291;2021-07-08;C52 C50 D59 C51 E22;2021-04-01 …remitirá la información mensual, referidas a operaciones correspondientes al cierre del mes de abril de 2021 en adelante, para… | 2020-11-06 …web de esta Comisión, que fuera comunicado mediante Carta a Gerencia N°92025906, de fecha 6 de noviembre de 2020. Las instrucciones… | 2021-04-23 …al amparo de los criterios establecidos en la Carta a Gerencia N°92105115 entre el 23 de abril del 2021 y el 31 de julio del…;https://www.cmfchile.cl/normativa/cir_2291_2021.pdf
2021_2288;2021-04-27;;;;;Circular N°2.288;2021-04-27;R01 R02 R06 R07 R08 R11 R13 R14;2021-06-01 …días hábiles de julio de 2021 el banco deberá enviar la información correspondiente al mes de junio de 2021, para los archivos… | 2021-10-01 …histórica mensual que debe remitirse en el archivo R08, se extenderá el plazo hasta el 1 de octubre de 2021. El primer reporte del… | 2021-09-01 …1 de octubre de 2021. El primer reporte del archivo R01, por su parte, debe realizarse en septiembre de 2021, mientras que el… | 2021-12-01 …en septiembre de 2021, mientras que el primer reporte del archivo R02 se estableció para diciembre de 2021. En vista de que los…;https://www.cmfchile.cl/normativa/cir_2288_2021.pdf
2021_2285;2021-01-26;;;;;Circular N°2.285;2021-01-26;R11;2021-04-01 …en los meses sucesivos, hasta que se cuente con una nueva actualización. Por su parte, el primero de abril de 2021 se deberán remitir… | 2021-02-01 …de abril de 2021 se deberán remitir los archivos correspondientes a los meses de enero y febrero del 2021, y en los siguientes 9 días…;https://www.cmfchile.cl/normativa/cir_2285_2021.pdf
2020_2284;2020-12-31;;;;;Circular N°2.284;2020-12-31;R11;2021-02-01 …pero su texto definitivo corresponde al que acompaña a la presente circular. El día 1 de febrero de 2021 el banco deberá enviar… | 2021-01-01 …remitir la información mensualmente a la CMF, partiendo por la información referida a enero de 2021. Mientras no se habilite el…;https://www.cmfchile.cl/normativa/cir_2284_2020.pdf
2020_2266;2020-08-25;;;;;Circular N°2.266;2020-08-25;R04 R05 D10 D27;;https://www.cmfchile.cl/normativa/cir_2266_2020.pdf
2020_2255;2020-05-08;;;;;Circular N°2.255;2020-05-08;C59;2020-09-08 …el período de encaje que se inicia el 9 de marzo de 2020 y hasta el que concluye el día 8 de septiembre de 2020, el encaje en moneda…;https://www.cmfchile.cl/normativa/cir_2255_2020.pdf
2020_2254;2020-05-08;;;;;Circular N°2.254;2020-05-08;C30;2020-03-09 …8 de abril de 2020 de ese Instituto Emisor, desde el período de encaje que se inicia el 9 de marzo de 2020 y hasta el que concluye el… | 2020-09-08 …el período de encaje que se inicia el 9 de marzo de 2020 y hasta el que concluye el día 8 de septiembre de 2020, el encaje en moneda…;https://www.cmfchile.cl/normativa/cir_2254_2020.pdf
2021_2295;2022-01-01;;;;;Circular N°2.295;2021-10-07;C17 R11 P40;;https://www.cmfchile.cl/normativa/cir_2295_2021.pdf
